,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-7.4442754,2024-12-10 12:46:21.281479,2024-12-10 12:50:33.595459,0 days 00:04:12.313980,relu,128,0.2,2.9465423523005305e-05,0.9,0.99,1.637031128263842e-05,2.0,20,1024,tiny,0.48286526503725447,COMPLETE
1,1,,2024-12-10 12:46:21.295454,2024-12-10 12:47:08.006656,0 days 00:00:46.711202,relu,128,0.3,5.587941285025819e-05,0.98,0.995,0.12642754867074715,2.0,10,1024,medium,0.01121965286192872,PRUNED
2,2,-23.1773056,2024-12-10 12:47:08.007674,2024-12-10 12:50:26.401570,0 days 00:03:18.393896,tanh,256,0.1,1.5003012612219136e-06,0.98,0.995,0.13451145627375422,0.5,10,256,tiny,0.22485588265495982,COMPLETE
3,3,-11.761503399999999,2024-12-10 12:50:26.402840,2024-12-10 12:53:54.553223,0 days 00:03:28.150383,tanh,256,0.3,5.181458052576242e-06,0.8,0.995,0.003548109363051563,2.0,20,256,medium,0.43445066939517996,COMPLETE
4,4,-0.6519794,2024-12-10 12:50:33.596777,2024-12-10 12:54:51.804453,0 days 00:04:18.207676,tanh,16,0.4,1.7963333536190854e-07,1.0,0.95,0.0014161271727876408,5.0,5,128,tiny,0.5956621715523834,COMPLETE
5,5,-10.443911400000001,2024-12-10 12:53:54.553989,2024-12-10 12:56:20.546101,0 days 00:02:25.992112,tanh,32,0.3,4.273812034899341e-08,0.92,0.999,1.0465139417559758e-05,0.8,1,16,small,0.2827425136707442,COMPLETE
6,6,-11.0453136,2024-12-10 12:54:51.805276,2024-12-10 12:56:59.173565,0 days 00:02:07.368289,tanh,256,0.3,0.004125888755377352,0.8,0.995,2.7279444145876772e-05,2.0,10,512,tiny,0.2152060783055635,COMPLETE
7,7,-41.479582199999996,2024-12-10 12:56:20.546912,2024-12-10 13:00:57.568807,0 days 00:04:37.021895,relu,16,0.2,6.969991244790544e-06,1.0,0.95,0.040928951354398016,0.9,5,1024,tiny,0.7711517348923391,COMPLETE
8,8,,2024-12-10 12:56:59.174364,2024-12-10 12:58:58.601066,0 days 00:01:59.426702,tanh,128,0.4,0.00014877091365084798,0.92,0.98,0.665363308533866,5.0,1,1024,tiny,0.5675803710057533,PRUNED
9,9,-10.3878484,2024-12-10 12:58:58.601673,2024-12-10 13:02:14.718248,0 days 00:03:16.116575,relu,128,0.2,0.00014377054841212793,0.98,0.95,0.08680663961753061,0.5,5,512,tiny,0.64921246286323,COMPLETE
