,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,370.50533520000005,2024-12-10 18:28:36.947317,2024-12-10 18:33:32.616274,0 days 00:04:55.668957,relu,256,0.1,0.0030332008184296225,0.8,0.9999,0.30568264715427396,2.0,20,256,tiny,0.08557624932819574,COMPLETE
1,1,394.9670174,2024-12-10 18:28:36.948158,2024-12-10 18:32:57.695409,0 days 00:04:20.747251,tanh,128,0.2,0.0035984337732057805,0.9,0.995,0.0012218453788412304,0.5,1,256,tiny,0.5403022716757532,COMPLETE
2,2,2484.7142946,2024-12-10 18:32:57.699777,2024-12-10 18:41:51.584906,0 days 00:08:53.885129,tanh,32,0.3,2.4899465105559113e-07,0.92,0.995,0.0002870094006171164,2.0,20,512,small,0.36328911801171604,COMPLETE
3,3,832.3483032,2024-12-10 18:33:32.617181,2024-12-10 18:37:19.531213,0 days 00:03:46.914032,relu,128,0.3,1.1195081077330302e-05,0.99,0.9999,1.5439043134393595e-05,0.6,1,2048,medium,0.21657576788600452,COMPLETE
4,4,410.96112780000004,2024-12-10 18:37:19.532124,2024-12-10 18:41:14.877867,0 days 00:03:55.345743,tanh,128,0.1,1.658519442846519e-05,0.95,0.9,0.05193248586870554,5.0,10,256,tiny,0.1603640716698136,COMPLETE
5,5,,2024-12-10 18:41:14.878753,2024-12-10 18:41:26.074959,0 days 00:00:11.196206,relu,16,0.4,0.002295753930834042,0.8,0.99,0.0833818021140302,0.6,10,512,medium,0.13786158389307213,PRUNED
6,6,371.1896982,2024-12-10 18:41:26.075725,2024-12-10 18:49:02.584698,0 days 00:07:36.508973,tanh,8,0.1,0.026466173315774662,1.0,0.9,0.010811605333260792,1.0,10,256,small,0.08845781554583887,COMPLETE
7,7,866.8896268000001,2024-12-10 18:41:51.585746,2024-12-10 18:45:19.715852,0 days 00:03:28.130106,relu,32,0.2,5.9512489814018764e-08,0.95,0.999,0.010280006000496457,0.3,10,32,small,0.7154110100986515,COMPLETE
8,8,828.1352796000001,2024-12-10 18:45:19.716689,2024-12-10 18:47:36.472612,0 days 00:02:16.755923,relu,16,0.3,0.0001489199036212785,0.99,0.95,5.547373820171014e-05,1.0,1,128,medium,0.49618343388875685,COMPLETE
9,9,2546.6689082000003,2024-12-10 18:47:36.474603,2024-12-10 18:53:19.573886,0 days 00:05:43.099283,tanh,16,0.3,5.252029612790795e-07,0.98,0.99,5.707973104780219e-05,0.5,20,256,tiny,0.539445744362043,COMPLETE
10,10,,2024-12-10 18:49:02.585473,2024-12-10 18:49:57.221317,0 days 00:00:54.635844,tanh,512,0.4,2.789337366912483e-05,0.98,0.99,0.33781583773320933,0.6,10,16,small,0.35570422229932375,PRUNED
11,11,701.4611002,2024-12-10 18:49:57.221902,2024-12-10 18:53:45.037671,0 days 00:03:47.815769,tanh,32,0.3,1.5698898778872845e-07,0.92,0.99,0.001967504694255058,0.9,20,512,small,0.24851490790726022,COMPLETE
